file_name,transcription,duration,speaker
audio/tr_10000_tr097082.wav,የተለያዩ የ ትግራይ አውራጃ ተወላጆች ገንዘባቸው ን አዋጥ ተው የ ልማት ተቋማትን እንዲ መሰርቱ ትልማ አይ ፈቅድ ም,9.09,SPK01
audio/tr_10001_tr097083.wav,የ ጠመንጃ ተኩስ ተከፈተ ና አራት የኤርትራ ወታደሮች ተገደሉ,5.63,SPK01
audio/tr_10002_tr097084.wav,ላነሷቸው ጥያቄዎች የ ሰጡት ን መልስ አቅርበ ነዋል,6.14,SPK01
audio/tr_10003_tr097085.wav,እ ብዱ አስፋልቱ ላይ የ ኰለኰ ለ ው ድንጋይ መኪና አላ ሳልፍ አለ,5.76,SPK01
audio/tr_10004_tr097086.wav,ጠጁ ን ኰ መኰ መ ኰ መኰ መ ና ሚስቱ ን ሲ ያሰቃ ያት አደረ,5.38,SPK01
audio/tr_10005_tr097087.wav,ድንቹ በ ደንብ ስለተኰተኰተ በ ጥሩ ሁኔታ ኰረተ,6.66,SPK01
audio/tr_10006_tr097088.wav,በ ድህነቱ ላይ ይህ ክፉ በሽታ ስለ ያዘው ሰውነቱ በጣም ኰ ሰሰ,6.53,SPK01
audio/tr_10007_tr097089.wav,በሩን እንዲ ህ በ ሀይል አታንኳኲ ብዬ አልነበረ ም እንዴ,5.50,SPK01
audio/tr_10008_tr097090.wav,በለጠ ች የ በየነ የ በኩር ልጅ ነች,4.48,SPK01
audio/tr_10009_tr097091.wav,የ ቆላ ቁስል ና ቁርጥ ማት በጣም አሰቃቂ በሽታዎች ናቸው,4.86,SPK01
audio/tr_1000_tr11001.wav,ያ ኮምፒ ተር ለ ተጠቃሚው በ ትክክል የሚ ፈለገው ን ነገር እንዲ ያሟላ ማድረግ ነው,7.55,SPK01
audio/tr_10010_tr097092.wav,ባድመ ላይ ያለቀው የኤርትራ ወታደር ስፍር ቁጥር የ ለውም,5.50,SPK01
audio/tr_10011_tr097093.wav,እንዲያ መሬት አይ ን ካ ኝ ይል የነበረ ሰው በ ድንገት ቆረቆዘ አይደል,6.02,SPK01
audio/tr_10012_tr097094.wav,አንበሳው ስጋ ስላ የ አጉረመረ መ,3.33,SPK01
audio/tr_10013_tr097095.wav,ሸክላ ሰሪዋ አ ለሚ ቱ በ ጉልቻ ስራ የታወቀች ነች,5.50,SPK01
