file_name,transcription,duration,speaker
audio/tr_10000_tr097082.wav,የተለያዩ የትግራይ አውራጃ ተወላጆች ገንዘባቸውን አዋጥተው የልማት ተቋማትን እንዲመሰርቱ ትልማ አይፈቅድም,9.09,SPK01
audio/tr_10001_tr097083.wav,የጠመንጃ ተኩስ ተከፈተና አራት የኤርትራ ወታደሮች ተገደሉ,5.63,SPK01
audio/tr_10002_tr097084.wav,ላነሷቸው ጥያቄዎች የሰጡትን መልስ አቅርበነዋል,6.14,SPK01
audio/tr_10003_tr097085.wav,እብዱ አስፋልቱ ላይ የኰለኰለው ድንጋይ መኪና አላሳልፍ አለ,5.76,SPK01
audio/tr_10004_tr097086.wav,ጠጁን ኰመኰመ ኰመኰመና ሚስቱን ሲያሰቃያት አደረ,5.38,SPK01
audio/tr_10005_tr097087.wav,ድንቹ በደንብ ስለተኰተኰተ በጥሩ ሁኔታ ኰረተ,6.66,SPK01
audio/tr_10006_tr097088.wav,በድህነቱ ላይ ይህ ክፉ በሽታ ስለያዘው ሰውነቱ በጣም ኰሰሰ,6.53,SPK01
audio/tr_10007_tr097089.wav,በሩን እንዲህ በሀይል አታንኳኲ ብዬ አልነበረም እንዴ,5.50,SPK01
audio/tr_10008_tr097090.wav,በለጠች የበየነ የበኩር ልጅ ነች,4.48,SPK01
audio/tr_10009_tr097091.wav,የቆላ ቁስልና ቁርጥማት በጣም አሰቃቂ በሽታዎች ናቸው,4.86,SPK01
audio/tr_1000_tr11001.wav,ያኮምፒተር ለተጠቃሚው በትክክል የሚፈለገውን ነገር እንዲያሟላ ማድረግ ነው,7.55,SPK01
audio/tr_10010_tr097092.wav,ባድመ ላይ ያለቀው የኤርትራ ወታደር ስፍር ቁጥር የለውም,5.50,SPK01
audio/tr_10011_tr097093.wav,እንዲያ መሬት አይንካኝ ይል የነበረ ሰው በድንገት ቆረቆዘ አይደል,6.02,SPK01
audio/tr_10012_tr097094.wav,አንበሳው ስጋ ስላ የ አጉረመረ መ,3.33,SPK01
audio/tr_10013_tr097095.wav,ሸክላ ሰሪዋ አለሚቱ በጉልቻ ስራ የታወቀች ነች,5.50,SPK01
audio/tr_10014_tr097096.wav,የተፈራ አተር ቀድሞ ስለተዘራ ተሎጐመራ,4.86,SPK01
