REJECTED | reason=characters changed: [አንበሳውስጋስላየአጉረመረመ] → [አንበሳውስጋስላጠአጉረመረመ] | original=[አንበሳው ስጋ ስላ የ አጉረመረ መ] | corrected=[አንበሳው ስጋ ስላጠ አጉረመረመ]
REJECTED | reason=characters changed: [ለእኛደግሞፕሮግራማችንንናአጀንዳችንንወያኔአይወስንልንም] → [ለእኛደግሞፕሮግራማችንናአጀንዳችንንወያኔአይወስንልንም] | original=[ለ እኛ ደግሞ ፕሮግራማችን ንና አጀንዳ ችንን ወያኔ አይወስ ን ልን ም] | corrected=[ለእኛ ደግሞ ፕሮግራማችንና አጀንዳችንን ወያኔ አይወስንልንም]
REJECTED | reason=characters changed: [የወደብሚኒስቴሩሚስተርመሀመድአዳምበእናታቸውኢትዮጵያዊመሆናቸውንናጅማከተማመወለዳቸውንያስረዳውዜናዘገባውነውሲሉመናገራቸውንምገልጿል] → [የወደብሚኒስቴሩሚስተርመሀመድአዳምበእናታቸውኢትዮጵያዊመሆናቸውናጅማከተማመወለዳቸውንያስረዳውዜናዘገባውነውሲሉመናገራቸውንምገልጿል] | original=[የ ወደብ ሚኒስቴሩ ሚስተር መሀመድ አዳም በ እናታቸው ኢትዮጵያዊ መሆናቸው ንና ጅማ ከተማ መወለዳ ቸውን ያስረዳ ው ዜና ዘገባው ነው ሲሉ መናገራቸው ንም ገልጿ ል] | corrected=[የወደብ ሚኒስቴሩ ሚስተር መሀመድ አዳም በእናታቸው ኢትዮጵያዊ መሆናቸውና ጅማ ከተማ መወለዳቸውን ያስረዳው ዜና ዘገባው ነው ሲሉ መናገራቸውንም ገልጿል]
REJECTED | reason=characters changed: [ሻእቢያንምንሊያደማውእንደሚችልከወያኔበላይየሚያውቅየለም] → [ሻእቢያንምምንሊያደማውእንደሚችልከወያኔበላይየሚያውቅየለም] | original=[ሻእቢያ ን ም ን ሊያ ደማ ው እንደሚ ችል ከ ወያኔ በላይ የሚ ያውቅ የ ለ ም] | corrected=[ሻእቢያንም ምን ሊያደማው እንደሚችል ከወያኔ በላይ የሚያውቅ የለም]
REJECTED | reason=characters changed: [ትግስትእህቷንስትጓጉክረሚእንጂየኔንአይነትሀብልአይገዛልሽምአለቻት] → [ትግስትእህቷንስትጓጉክሬሚእንጂየኔንአይነትሀብልአይገዛልሽምአለቻት] | original=[ት ግስት እህቷ ን ስት ጓጉ ክረ ሚ እንጂ የኔ ን አይነት ሀብል አይገዛ ልሽ ም አለ ቻት] | corrected=[ትግስት እህቷን ስትጓጉ ክሬሚ እንጂ የኔን አይነት ሀብል አይገዛልሽም አለቻት]
REJECTED | reason=characters changed: [ከዚህውስጥአንድመቶሚሊዮንብርብቻስለሚያስፈልገውከፍተኛእዳእንደሚቃለልለትተገምቷል] → [ከዚህውስጥአንድመቶሚሊዮንብርብቻስለሚያስፈልገውከፍተኛእዳእንደሚቃለልተገምቷል] | original=[ከዚህ ውስጥ አንድ መቶ ሚሊዮን ብር ብቻ ስለሚ ያስፈልገው ከፍተኛ እዳ እንደሚ ቃለል ለት ተገምቷል] | corrected=[ከዚህ ውስጥ አንድ መቶ ሚሊዮን ብር ብቻ ስለሚያስፈልገው ከፍተኛ እዳ እንደሚቃለል ተገምቷል]
REJECTED | reason=characters changed: [እኔምንመስራትናአለመስራትእንዳለብኝበሚገባያውቀዋል] → [እኔምምንመስራትናአለመስራትእንዳለብኝበሚገባያውቀዋል] | original=[እኔ ም ን መስራት ና አለ መስራት እንዳለ ብኝ በሚገባ ያው ቀዋል] | corrected=[እኔም ምን መስራትና አለመስራት እንዳለብኝ በሚገባ ያውቀዋል]
REJECTED | reason=characters changed: [ማንችስተርወደዌስትሀምተጉዞያለግብተለያይቷል] → [ማንቸስተርወደዌስትሀምተጉዞያለግብተለያይቷል] | original=[ማን ች ስተር ወደ ዌስትሀም ተ ጉዞ ያለ ግብ ተለያይ ቷል] | corrected=[ማንቸስተር ወደ ዌስትሀም ተጉዞ ያለግብ ተለያይቷል]
REJECTED | reason=characters changed: [ሚስትአግብተውሶስትልጆችበትነውየጠፉትቄስፊሊጶስደብርተገኙ] → [ሚስትአግብተውሶስትልጆችብትነውየጠፉትቄስፊሊጶስደብርተገኙ] | original=[ሚስት አ ግብተው ሶስት ልጆች በት ነው የ ጠፉት ቄስ ፊሊ ጶ ስ ደብር ተገኙ] | corrected=[ሚስት አግብተው ሶስት ልጆች ብትነው የጠፉት ቄስ ፊሊጶስ ደብር ተገኙ]
REJECTED | reason=characters changed: [ሚስትአግብተውሶስትልጆችበትነውየጠፉትቄስፊሊጶስደብርተገኙ] → [ሚስትአግብተውሶስትልጆችብትነውየጠፉትቄስፊሊጶስደብርተገኙ] | original=[ሚስት አ ግብተው ሶስት ልጆች በት ነው የ ጠፉት ቄስ ፊሊ ጶ ስ ደብር ተገኙ] | corrected=[ሚስት አግብተው ሶስት ልጆች ብት ነው የጠፉት ቄስ ፊሊጶስ ደብር ተገኙ]
REJECTED | reason=characters changed: [አያያዧስለቀረችባትብቻዋንለመሸከምተገደደች] → [አያያዧስለቀረቻትብቻዋንለመሸከምተገደደች] | original=[አያያዧ ስለ ቀረች ባት ብቻ ዋን ለ መሸከም ተገደደች] | corrected=[አያያዧ ስለቀረቻት ብቻዋን ለመሸከም ተገደደች]
